F1,F2,F3,F6,F11,F12,F13,F14,F15,F24,F27
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1097532362062.627,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0,-1099511627687.0
